date,docx,headline,outlet,topic,url
8/12/15,Aug 10-16,2 N.J. teachers won a $10K trip to Fiji for education,NJ.com,Two teachers from New Jersey won a travel grant from Fund for Teachers to study ecology and conservation in Fiji.,http://www.nj.com/hudson/index.ssf/2015/08/these_jersey_city_teachers_won_10k_to_go_to_fiji_f.html
8/12/15,Aug 10-16,"Hear My Story, I’m a Girl Who Got an Education",Womens enews,2014 Mandela Fellow Laura Golakeh discusses the importance of girls’ education through her personal experience growing up in Liberia.,http://womensenews.org/story/education/150811/hear-my-story-im-girl-who-got-education
8/12/15,Aug 10-16,Qalqilya Al Ahli Club opens the project management cycle,Mann News,Qalqilya Al Ahli Club is opening a new project management course ,https://www.maannews.net/Content.aspx?id=791871
8/12/15,Aug 10-16,Africa’s leading women in tech 2015,IT News Africa,"To celebrate South Africa’s National Women’s Day, IT News Africa lists Africa’s Leading women in Tech for 2015.",http://www.itnewsafrica.com/2015/08/africas-leading-women-in-tech-2015/
8/15/15,Aug 10-16,LIBERIA: Senator Pledges to Help Get State University Radio in 2016/17 Budget,Global News Network Liberia,"Senator J. Milton Teahjay has promised to ensure the inclusion of the state-run university radio station, Lux FM 106.6 in the 2016/17 National Budget.",http://www.gnnliberia.com/articles/2015/08/15/liberia-senator-pledges-help-get-state-university-radio-201617-budget
8/17/15,Aug 17-23,Qalqilya Al Ahli Club organizes cycle training instructors TOTS,Maan News,"Qalqilya Al Ahli Club, organized within IREX's Partnerships with Youth (PwY) program,..., implemented a new training that aims to develop communication skills and communication among those who could lead organization training programs in the future.",https://www.maannews.net/Content.aspx?id=792947
8/24/15,Aug 24-30,Qalqilya Al Ahli Club organizes the Palestinian/World Youth Week,Maan News,"Qalqilya Al Ahli Club, organized within IREX's Partnerships with Youth (PwY) program implemented the Palestinian/Youth World Youth Week, which includes several cultural, sports and social events for youth. Young men and women also had the opportunity to voice concerns and to meet with companies and institutions for employment opportunities and to learn more about the necessary skills needed for the labor market.",http://www.maannews.net/Content.aspx?id=794334
8/26/15,Aug 24-30,Qalqilya Al Ahli Club Organizes Career Day 2015 on Thursday,Alwatan Voice,"Qalqilya Al Ahli Club, , organized within IREX's Partnerships with Youth (PwY) program hosted Career Day 2015 on Thursday, which gave graduates the opportunity to register with many institutions and private companies for employment.",http://www.alwatanvoice.com/arabic/news/2015/08/26/765871.html
8/28/15,Aug 24-30,By 1 September – register for a meeting with an expert Emma Poole on “Best practices in communication media and police”,Telekrita.ua,"IREX, in partnership with Agriteam organized a presentation focused on best practices for international media cooperation. Communication strategist and former reporter Emma Poole will share her experiences in engaging in effective communication between the media and police.",http://www.telekrita.ua/kontekst/2015-08-28/110544
8/28/15,Aug 24-30,Foundation (IREX) and Ahli Club Qalqilya organize a partnership project,Palestine News Network,"Qalqilya Al Ahli Club, , organized within IREX's Partnerships with Youth (PwY) program hosted Career Day 2015 on Thursday, which gave more than 200 graduates the opportunity to register with many institutions and private companies for employment.",
8/30/15,Aug 24-30,Doha Municipality and the club house of the child organize imaging cycle and free montage [Originally in Arabic],Maan News,"With the support of USAID and IREX, Doha municipality implemented a three-day training on how to operate and edit video and multi-arts photography; those who completed the program were awarded certificates of completion.",http://www.maannews.net/Content.aspx?id=795532
8/30/15,Aug 24-30,Doha Municipality and the club house of the child organize imaging cycle and free montage,Alwatan Voice,"With the support of USAID and IREX, Doha municipality implemented a three-day training on how to operate and edit video and multi-arts photography; those who completed the program were awarded certificates of completion.",http://www.alwatanvoice.com/arabic/news/2015/08/30/767780.html
8/5/15,Aug 3- 9,Young African leaders complete civic leadership training at ASU,ASU News,25 young leaders from Africa recently spent 6 weeks in AZ for intensive hands-on education and leadership training with ASU College of Public Service and Community Solutions.,https://asunews.asu.edu/20150805-african-leaders
8/6/15,Aug 3- 9,"Exclusive Interview: Chuck Prow on His New Sterling Capital & CPS Roles, Envisioned Growth Areas",Executive Biz,"Chuck Prow, who recently led IBM’s global government business, has retired from the company to take a new role as a principal at investment firm Sterling Capital Group Partners.",http://blog.executivebiz.com/2015/08/exclusive-interview-chuck-prow-on-his-new-sterling-capital-cps-roles-envisioned-growth-areas/
8/7/15,Aug 3- 9,Accessibility technology,CHCH.com,"In Toronto, over 50 companies are displaying the technology they’ve created to help people with disabilities.",https://www.youtube.com/watch?v=J1Ol6M0d9sg
8/7/15,Aug 3- 9,Qalqilya Al Ahli Club concludes the first Chess Championship at its headquarters (originally in Arabic),Al Watan Voice,The Qalqilya Al Ahli Club finished up its first chess championship under the supervision of the Palestinian Chess Federation.,http://www.alwatanvoice.com/arabic/news/2015/08/07/755106.html
8/8/15,Aug 3- 9,The global shame of sex trafficking,World,"With high rewards and low risks, sex trafficking is becoming a bigger and bigger problem across the globe.",http://www.worldmag.com/2015/08/the_global_shame_of_sex_trafficking
8/9/15,Aug 3- 9,"Azerbaijan journalist died, which beat after recording in Facebook (originally in Ukrainian)",Tele Kritika,"After criticizing local football, Azerbaijani freelance journalist was beaten to death in Baku.",http://www.telekritika.ua/pravo/2015-08-09/109951
8/31/2015,Aug 31 - Sept 6,USAID Pumps US$290K In Recovery Plan for Ebola Survivors,Daily Observer,"USAID has provided Search for Common Ground $290,000 through IREX to help sensitize communities discriminating against Ebola survivors.",http://www.liberianobserver.com/news/usaid-pumps-us290k-recovery-plan-ebola-survivors
9/2/2015,Aug 31 - Sept 6,"Khadija Ismailova--Azerbaijani journalist, political prisoner [Originally in Russian]",Grani.ru,"The Baku Court of Grave Crimes sentenced Azerbaijani journalist Khadija Ismailova to seven and a half years in prison for misappropriation and embezzlement, illegal business, tax evasion, and abuse of power; she was a former grants manager for IREX.",http://grani.ru/people/2527/
9/2/2015,Aug 31 - Sept 6,West has found a new reason to attack Azerbaijan - RESPONSE [Originally in Russian],News.Day.Az,The situation concerning Azerbaijani journalists and the freedom of expression within the country continues.,http://news.day.az/politics/609372.html
9/3/2015,Aug 31 - Sept 6,"Judgment ""open letter to the President"" is a test of Freedom of Expression in Mozambique",Global Voices,Economist Nuno Castel-Branco and journliast Fernando Mbanze are on trial for an “open letter” they wrote to the former President of the Republic; IREX media specialist Arsenio Manhice weighs in on the case.,http://pt.globalvoicesonline.org/2015/09/03/julgamento-carta-aberta-ao-presidente-e-um-teste-a-liberdade-de-expressao-em-mocambique/
9/6/2015,Aug 31 - Sept 6,Foreign agents in the Kremlin [Originally in Russian],Sobesednik.ru,Heads of state in Russia haven been known to collaborate with international agencies such as USAID and IREX—interestingly enough seeing as how recently Russia announced a general blacklist of unwanted NGOs.,http://sobesednik.ru/rassledovanie/20150906-inostrannye-agenty-uzhe-v-kremle?luchshee
12/16/2014,Dec 15-Dec 22,Liberia: PUL Resumes Nationwide Senatorial Debate,All Africa,"The Press Union of Liberia will resume its nationwide senatorial debate. Prior to its suspension, the PUL, with support from IREX, and in partnership with the Federation of Liberian Youth (FLY) had successfully hosted debates.",http://allafrica.com/stories/201412161694.html
12/19/2014,Dec 15-Dec 22,"Liberia: PUL, IREX Quiz Senatorial Candidates in Bong",All Africa,"The Press Union of Liberia, in collaboration with IREX, conducted a debate for candidates contesting the senatorial seat in the December 20 polls in Bong County.",http://allafrica.com/stories/201412221566.html
12/19/2014,Dec 15-Dec 22,"Telemist Rivne, Cherkasy. Topic - ""Freedom of the press"" (Originally in Ukrainian) ",Rivne 1,"(Ukrainian video) In the frame of the support of the Media Development Fund of the US Embassy in Ukraine. The views of the authors do not necessarily reflect the official position of the US government. / Supported by the Media Development Fund of US Embassy in Ukraine. The views of the authors do not necessarily reflect the official position of the US Government. """,http://www.rivne1.tv/Info/?id=41905
12/19/2014,Dec 15-Dec 22,Virginia Tech training strengthens universities in Iraqi Kurdistan,Augusta Free Press,"Participants say the program, newly authorized for a second year at Virginia Tech, is vital because strengthening education systems fosters stability. Training like this can also help stem the rise of militant groups such as the Islamic State. The training initiative, funded by the U.S. Embassy in Iraq, is called the Iraqi Kurdistan Rural Universities Partnership Program and is run by the Language and Culture Institute in partnership with the nonprofit IREX. In addition to Raparin, the program also includes the University of Halabja and the University of Zakho. Each was founded in the past 10 years.",http://augustafreepress.com/virginia-tech-training-strengthens-universities-in-iraqi-kurdistan/
12/20/2014,Dec 15-Dec 22,A brief excursus into US-Azerbaijani relations and reflections on future,Trend ,"The United States and Europe spends millions of dollars in schemes against Azerbaijan. They use funding to strengthen the opposition, NGOs, and hostile media under the guise of democracy. For example, in last several years alone the US National Democracy Fund has allocated AZN 3 million to Azerbaijani NGOs, while the International Research & Exchanges Board (IREX) AZN 1 million, the European Endowment for Democracy AZN 300,000, Liechtenstein Open Society Foundation AZN 7.6 million.",http://en.trend.az/azerbaijan/politics/2345938.html
12/21/2014,Dec 15-Dec 22,"PUL, IREX QUIZ SENATORIAL CANDIDATES IN BON",Liberian News Agency,The Press Union of Liberia in collaboration with IREX Thursday conducted a debate for candidates contesting the senatorial seat in the December 20 polls in Bong County.,http://www.liberianewsagency.org/pagesnews.php?nid=3657
12/21/2014,Dec 15-Dec 22,Ahli Qalqilya embraces a series of meetings among young people about self-confidence-building (originally in Arabic),Maan News,"The Youth Development Resource Center in the Qalqilya Club implemented a series of private meetings to build self- confidence among the youth. It hopes increased confidence will promote the entrepreneurial spirit. The project sprung from an agreement between Al-Ahly Management Corporation and IREX, and is funded by the US Agency for International Development (USAID). The program includes implementing several activities for young people aged 14 to 29 years, which will train and develop their abilities and talents in multiple areas, including computer and media programs. It will also strengthen the capacity of youth in leadership through work, and support the distinctive youth initiatives that aim to serve the community local.",http://www.maannews.net/arb/ViewDetails.aspx?ID=748753
12/22/2014,Dec 15-Dec 22,"Closing of age Tech Teacher program ""TAT 2014"" (Originally in French)",Direct Info,"Announcement about Tech Age Tuisia’s closing. Funded by the Foundation Blue Dream and implemented by IREX, in partnership with the Tunisian Ministry of Education and the National Center for Educational Innovation and Educational Research (CNIPRE), the program involves training Tunisian primary and secondary teachers in the integration of ICT in teaching practices at the primary and secondary education.",http://directinfo.webmanagercenter.com/2014/12/22/tunisie-cloture-du-programme-enseignants-age-tech-tat-2014/
12/19/2014,Dec 15-Dec 22,Qalqilya: Youth Development Resource Center in Qalqilya Ahli Club performs a special series of meetings to build self-confidence (Originally in Arabic),Qalqilia,Same story as Maan News,http://www.qalqilia.com/4353.html
12/2/2014,Dec 2-Dec 8,"ISIS Takeover In Iraq: Mosul University Students, Faculty Uncertain About The Future Of Higher Education",International Business Times,"Almost six months have passed since the Islamic State group shut down one of the Middle East's biggest research and education centers, and there's still no sign of relief in Iraq's second-largest city. Most of the students and faculty who escaped Mosul went to Kurdistan, where ""it's a whole different story,"" said Lori Mason, director of IREX's Iraq University Linkage Program. The Ministry of Higher Education and Scientific Research is doing what it can to help displaced students, including arranging for them to attend night classes at the University of Duhok. The ministry also plans to create substitute departments and colleges, according to a statement on its website. Mason said about 15,000 people have applied for study there, and only 3,000 were accepted. Because of this, the ministry has declared this a nonfailure year. ""The assumption is that things will have settled by next year, and they can pick up where they left off,"" Mason said. ""This year won't count against them.""",http://www.ibtimes.com/isis-takeover-iraq-mosul-university-students-faculty-uncertain-about-future-higher-1731468
12/3/2014,Dec 2-Dec 8,Mehdiyev spoke about the US agents in Azerbaijan (originally in Russian),Haqqin,"Head of the Presidential Administration Ramiz Mehdiyev published an article, which analyzes the current geopolitical situation in the world and the place of Azerbaijan in the modern political arena. One of its sections is devoted to the activities of non-governmental organizations (NGOs), which Academician Mehdiyev directly calls a ""fifth column."" The United States believes that Azerbaijan had no right to freeze the accounts of organizations such as local branches NDI, «World vision», the American Bar Association (ABACELLİ), International Research & Exchanges Board (İREX). Washington believes that if the named structures financed directly from the US and Europe, Azerbaijan has no right to take any action against them.",http://haqqin.az/news/34965
12/5/2014,Dec 2-Dec 8,Liberia: Painful Rules to Cope With Revenue Decline,All Africa,"The Assistant Minister for Budget at the Ministry of Finance and Development Planning (MOFDP), Mr. Augustine Blama, has disclosed that with the reduction of cases in Ebola, there are tentative signs that the government is declining in domestic revenues and increasing in spending pressures. The forum was sponsored by the United States Agency for International Development (USAID), Institute for Research and Democratic Development (IREDD), International Research and Exchange (IREX).",http://allafrica.com/stories/201412051797.html
12/5/2014,Dec 2-Dec 8,Liberia: PUL Cautions Journalists - Suspends Senatorial Debate,All Africa,"The Press Union of Liberia released a statement abou a journalist code of ethics and conduct. The PUL, with support from the USAID-funded IREX, and in partnership with the federation of Liberian Youth, has successfully hosted debates in Margibi and Nimba counties about ethics. ",http://allafrica.com/stories/201412051855.html
12/4/2014,Dec 2-Dec 8,Biblionet National Public Opinion Survey (originally in Romanian),Librarian’s Corner,"International Research & Enchanges Board (IREX) started conducting a survey to measure levels of access to information; perceptions of public libraries; awareness and skills to use computers in the population of Romania; the fame of the program Libraries population over 15 years. The results of this study show that the popularity of libraries, how to look for information on respondents' perceptions of libraries and the degree of public participation in activities, events and projects in libraries has changed over time. Also show awareness of the program Libraries and most effective ways to popularize it.",https://librarianscorner.wordpress.com/
12/7/2014,Dec 2-Dec 8,New mobile app aims to help improve municipal services in Irbid,The Jordan Times,"West Irbid Municipality on Saturday officially presented “Ballegh Baladytak,” (Inform Your Municipality) a new mobile app for Android phones. Ballegh Baladytak will help document complaints received from citizens and activate a rapid response by the municipality. The application was developed by Spring Technologies, a local company that designed it with a view to reinforce municipalities’ mission to inform, connect with and better serve citizens. The campaign is being supported by the Social Media | Social Action for Good Governance Programme, funded by the US Department of State, Bureau of Near Eastern Affairs and the Office of the Middle East Partnership Initiative and implemented by the International Research & Exchanges Board (IREX). “Globally, major cities are increasingly using mobile applications to communicate with citizens and provide services more effectively,” the statement quoted IREX President Kristin Lord as saying. “Here in Jordan, where mobile penetration exceeds the population, this application offers citizens a new direct channel to engage their local government and in turn enables local officials to respond more efficiently,” Lord added. “The pilot phase has indicated that this mobile application can help enhance good governance practices at the local government level and promote active citizenship among local communities,” IREX Jordan Country Director Francesca Sawalha noted.",http://jordantimes.com/new-mobile-app-aims-to-help-improve-municipal-services-in-irbid
12/7/2014,Dec 2-Dec 8,The Two Faces of Azerbaijan’s Government,Azeri Report,"Pro-government media accused IREX, a highly regarded organization that supports media development and people-to-people exchanges, of “pursuing the interests of Azerbaijani enemies.” Ultimately, the group was pressured to leave the country. Official interference has led Peace Corps to discontinue its programs in the country as well. In the wake of the crackdown, former U.S. Ambassador to Azerbaijan Richard Morningstar also received targeted, verbal attacks from a top Azeri official. According to independent activists, there are now more than 90 political prisoners in Azerbaijan.",http://azerireport.com/index.php?option=com_content&task=view&id=4471&Itemid=48
12/7/2014,Dec 2-Dec 8,Great success enveloping the annual marathon sporting club for the first native of Qalqilya (originally in Arabic),Maan Newd,"Golf club kicked off their success at the first annual marathon, implemented by IREX with funding from USAID. The program aims to promote educational and leadership opportunities for young people in the Palestinian society.",http://www.maannews.net/arb/ViewDetails.aspx?ID=745458
12/8/2014,Dec 2-Dec 8,Deaf TV team produces report on International Day of Persons with Disabilities (originally in Portuguese),Mozambique News,"""The Government of Mozambique reiterates that people with disabilities should have equal access to a good education, not only in special schools, but also in regular schools,"" said Minister of Women and Social Yolanda waist, in an interview to TV Deaf members who attended training in TV journalism. The training was conducted by the Program for Strengthening Media.",http://newsmozambique.blogspot.com/
12/8/2014,Dec 2-Dec 8,"Liberia: Radio Gbarnga, Super Bongese Sign Peace Pact",All Africa,"Representatives of the management and staff convened at the Sr Mariam O'Brien Center at the Development Education Network, under the guidance of the Press Union of Liberia, the Center for Media Studies & Peace Building and the Bong County Civil Society, with support from IREX/USAID. Different radio stations met to resolve an outstanding confrontation between staff of both stations.",http://allafrica.com/stories/201412081780.html
12/22/2014,Dec 22-Dec 31,Closing of Tech Age Teachers program “TAT2014” (originally in French),Direct Info,Tech Age Teachers will close Monday. The Minister of Education stressed the creative and original nature of the projects. The end of the program’s third stage will culminate in a certificate ceremony for the 32 best projects.  ,http://directinfo.webmanagercenter.com/2014/12/22/tunisie-cloture-du-programme-enseignants-age-tech-tat-2014/
12/23/2014,Dec 22-Dec 31,Development Resource Center organizes meetings among young people about self-confidence building (Originally in Arabic),Raya,"The Youth Development Resource Center implemented a series of meetings to train youth in entrepreneurship, computer skills, press and media programs, and critical thinking. The Center partnered with IREX to implement the training, funded by USAID",http://www.raya.ps/ar/news/882037.html
12/24/2014,Dec 22-Dec 31,Ahli Qalqilya organizes a workshop entitled Ethics and Sports (originally in Arabic),Maan News,"The Youth Development Center partnered with Al-Ahly Management Corporation (IREX) to implement an ethics and sports workshop. The workshop taught youth the spirit of sportsmanship, discipline, community, and self-control, and showed how to apply these traits both on and off the field. ",http://www.maannews.net/arb/ViewDetails.aspx?ID=749562
12/25/2014,Dec 22-Dec 31,U.S. Official Slams Raid on RFE/RL’s Baku Bureau,Big News Network,"State Department official says Washington is ""concerned"" by a raid on the Baku Bureau. In addition to arrests, Azerbaijani prosecutors have raided a number of so-called foreign entities, including nongovernmental organizations like IREX, the National Democratic Institute, and Oxfam. All three NGOs were subsequently shutdown. IREX, which operates in 125 countries promoting democratic reforms, became the latest to end operations in September after Baku authorities froze its bank assets as part of what prosecutors called a ""criminal investigation.""",http://www.bignewsnetwork.com/index.php/sid/228878547
12/26/2014,Dec 22-Dec 31,Baku: Closed Radio Free Europe (Originally in Bosnian),B92,"Police and prosecutors entered the Radio Free Europe premises and searched the building for criminal activity. They did not prove details behind the raid. Azerbaijani prosecutor’s office has organized similar raids on foreign companies, including non-governmental organizations like IREX, NDI, and Oxfam. All 3 closed after the intrusion.",http://www.b92.net/info/vesti/index.php?yyyy=2014&mm=12&dd=26&nav_id=940758
12/26/2014,Dec 22-Dec 31,What does a search and closing Radio Liberty bureau in Baku? (Originally in Ukranian),Radio Svoboda,"Employees of Radio Liberty had to leave the office and stop working after a raid and detention of the Baku office. The office views the raid as a campaign against independent media. It is noted that the Azerbaijan police have raided the offices of IREX, Oxfam, and the National Institute for Democracy. Western countries and international organizations criticize the government’s actions. ",http://www.radiosvoboda.org/content/article/26764198.html
12/26/2014,Dec 22-Dec 31,Azerbaijani Prosecutor continues to harass journalists RFE (Originally in Romanian),Europa Libera,Azerbaijan Prosecutor raided editorial office of Radio Free Europe. Reporters were gathered in a separate room and were later sent home. State dept. said the U.S. is “concerned” by reports about the raid and detention. Azerbaijani law enforcement bodies have also conducted raids on IREX and the National Democratic Institute; both organizations were subsequently closed.,http://www.europalibera.org/content/article/26763627.html
12/26/2014,Dec 22-Dec 31,Radio Free Europe Closed (Originally in Bosnian),PCNEN,The Bureau of Azerbaijani service of Radio Free Europe is closed. The same tactics used to close IREX were used to close this office.,http://www.pcnen.com/portal/2014/12/26/vlast-zatvorila-rse-u-bakuu/
12/26/2014,Dec 22-Dec 31,The decline in the office of RSE in Baku (originally in Bosnian),Voice of America,"The chief editor of Radio Free Europe Nenad Pejic, called the raid ""a flagrant violation of international rules and standards to which Azerbaijan promised,"" adding that the State Prosecutor's Office spent several hours interrogating employees. The Azerbaijani prosecutor's office has organized similar incursions into other foreign companies, including non-governmental organizations such as IREX, the National Democratic Institute and Oxfam. All three were subsequently closed.",http://www.glasamerike.net/content/upad-u-biro-radija-slobodna-evropa/2575086.html
12/26/2014,Dec 22-Dec 31,The prosecutor's office in Azerbaijan puts a stop operation of Radio Free Europe (Originally in Latvian),Delfi,"Azerbaijani prosecutors office suspended Radio Free Europe indefinitely. Azerbaijani authorities previously raided foreign organizations like IREX, Oxfam, and NDI.",http://www.delfi.lv/news/world/other/prokuratura-azerbaidzana-liek-partraukt-radio-briva-eiropa-darbibu.d?id=45389250
12/26/2014,Dec 22-Dec 31,"Azerbaijani authorities threatened to close the office of radio ""Liberty"" (Originally in Russian)",News.am,Raid on Radio Free Europe. Disabled phones and Internet. Recently raided IREX and NDI closed offices after raid.,http://news.am/rus/news/246042.html
12/26/2014,Dec 22-Dec 31,Bureau Azattyk in Baku be searched (Originally in Russian),Azattyq.org,Hourly play-by-play of the raid. ,http://rus.azattyq.org/content/baku-rferl-azattyk-azadlyg-buro-prokuratura-obysk/26763460.html
12/26/2014,Dec 22-Dec 31,"Azerbaijan intend to close the editor of radio ""Liberty"" (Originally in Russian)",Xaprbir,Prosecutor General of Azerbaijan closed Radio Liberty. IREX and NDI were previously raided,http://charter97.org/ru/news/2014/12/26/132601/
12/26/2014,Dec 22-Dec 31,"In Baku office of ""Radio Liberty"" is held search (Originally in Russian)",APSNY,"Employees of Prosecutor General's Office conducted a search of the Baku Office of the Azerbaijani Service of Radio ""Radio Azadlig"" (""Freedom Radio"").  It is noted that similar raids law enforcement agencies of Azerbaijan held in recent months in the offices of non-profit organizations IREX, Oxfam and the National Democratic Institute. These three organizations were closed. Western countries and international organizations have criticized the prosecution of the Azerbaijani authorities of independent journalists, human rights defenders and activists.",http://www.apsny.ge/2014/other/1419632736.php
12/26/2014,Dec 22-Dec 31,US and OSCE concerned about the actions of the authorities of Azerbaijan against the media (Originally in Russian),Svoboda,"The OSCE Representative on Freedom of the Press Dunja Mijatovic called police raided the office of ""Radio Azadliq"" ""unacceptable,"" noting that ""Azerbaijan continues attack on freedom of speech."" Recently Azerbaijan closed three non-governmental organizations- IREX, NDI, and Oxfam",http://www.svoboda.org/content/article/26764409.html
